shortCode,hashtags,timestamp
DLjhcTSRcOd,"salamancavintagesanjo,summersale,julyspecial,5percentoff,vintagefinds,secondhand,vintage,luxury,chanel,dior,balenciaga,loewe,prada,gucci,bottega,loiusvuitton,hermes,fendi,2025,kyoto,sanjo,fyp",2025-07-01T06:25:40.000Z
DLjg9cZsfvE,"펜디몬트레조,펜디몬트레조버킷백,FENDI,펜디카드지갑,펜디머플러,펜디스카프,FENDI가방,펜디바게트백미니,펜디크로스백,팬디크로스백,팬디시계,팬디바게트백,펜디피카부미니,펜디토트백,펜디숄더백,펜디복조리백,펜디백팩,펜디클러치,여행가방추천,체인백,남성가방,회사원가방,여행용가방,브랜드가방,30대여자가방",2025-07-01T06:21:27.000Z
DLjg1gxSesU,"usedbrand,brand,PRADA,CHANEL,GUCCI,GOYARD,Burberry,fendi,celine,SalvatoreFerragamo,プラダ,グッチ,シャネル,中古ブランド,セリーヌ,フェンディ",2025-07-01T06:20:23.000Z
DLjgTWlMRyF,"펜디호보백,FENDI,펜디가방,펜디버킷백,펜디바게트백,펜디피카부백,펜디피카부,팬디버킷백,팬디가방,펜디몬트레조,펜디몬트레조버킷백,펜디카드지갑,펜디스카프,FENDI가방,펜디바게트백미니,펜디크로스백,팬디크로스백,가방그램,브랜드가방,셀린느가방추천,여성가방추천,신상가방,겨울가방,서류가방,소가죽가방",2025-07-01T06:15:43.000Z
DLjfuXss6RX,"펜디백팩,펜디클러치,펜디미니백,바게트백,펜디슬리퍼,펜디쇼퍼백,펜디호보백,펜디,펜디가방,펜디버킷백,펜디바게트백,펜디피카부백,펜디피카부,팬디버킷백,팬디가방,펜디몬트레조,펜디몬트레조버킷백,FENDI,펜디카드지갑,펜디머플러,가방,디자이너가방,핸드폰가방,뜨개질가방,니트가방,소가죽가방,명품가방신상,패션가방",2025-07-01T06:10:40.000Z
DLjexoTTZmH,"fendi,fendithailand,fendithai",2025-07-01T06:02:22.000Z
DLjd__2M8Tj,"펜디몬트레조,펜디몬트레조버킷백,FENDI,펜디카드지갑,펜디머플러,펜디스카프,FENDI가방,펜디바게트백미니,펜디크로스백,팬디크로스백,팬디시계,팬디바게트백,펜디버킷백,펜디토트백,펜디숄더백,펜디복조리백,피카부백,펜디백팩,펜디클러치,펜디미니백,여자명품가방,솔더백,크로스가방,고양이가방,강아지이동가방,가방추천,가방스타그램",2025-07-01T05:55:36.000Z
DLjdvW8ov_x,"exploremore,fypシ,fendi,neverloseme",2025-07-01T05:53:19.000Z
DLjduS-I66T,"fyp,explore,fendi",2025-07-01T05:53:11.000Z
DLjcp8NggGA,"펜디,펜디가방,펜디버킷백,펜디바게트백,펜디피카부백,펜디피카부,팬디버킷백,팬디가방,펜디몬트레조,펜디몬트레조버킷백,FENDI,펜디카드지갑,펜디머플러,펜디스카프,패션쇼핑,패션브랜드,패션아이템,스타일팁",2025-07-01T05:43:51.000Z
DLjb2B5y6Qw,"sehari_collections,lehengacholi,festivalcollection,weddingcollection,onlinefashion,lehengacollection,fashionstyle,partyweardresses,festivaloutfit,fendi,onlineshoppingindia,newarrivals",2025-07-01T05:36:45.000Z
DLjZ-ooSdJk,"買取大吉福井文京店,高価買取,LOUISVUITTON,Pomellato,HERMES,CHANEL,Cartier,CELINE,ROLEX,BVLGARI,BALENCIAGA,GUCCI,SAINTLAURENT,LOEWE,VanCleef,JimmyChoo,DIOR,Tiffany,FENDI,HarryWinston,AudemarsPiguet,FranckMuller,toryburch,Apple,harrywinston,FERRAGAMO,Chloe,PRADA",2025-07-01T05:20:27.000Z
DLjXBJUtJtb,"optic2000,optic2000_pezenas,pezenas,pezenasmaville,opticien,lunettes,lunettesdesoleil,laclasse,glamour,fendi,fendisunglasses,fendicouture,fendilovers,fendiglasses,fendieyewear",2025-07-01T04:54:35.000Z
DLjXAtaTzTu,"summer,relaxtime,teddybear,toypoodle,smile,toypoodlelove,toypoodlegram,dogstagram,fendi,doglovers,doglife,ben,cute,トイプードル,わんすたぐらむ,トイプードル男の子,いぬのいる暮らし,いぬのいる生活,犬好きな人と繋がりたい,サンバイザー,夏コーデ",2025-07-01T04:54:31.000Z
DLjWf9bhqkw,,2025-07-01T04:50:03.000Z
DLjWeZkhvl5,,2025-07-01T04:49:50.000Z
DLjWc-IhnXU,,2025-07-01T04:49:39.000Z
DLjWbAThb-8,,2025-07-01T04:49:22.000Z
DLjWZWKBC3O,,2025-07-01T04:49:09.000Z
DLjWXJihnUc,,2025-07-01T04:48:51.000Z
DLjWPByhqsN,,2025-07-01T04:47:44.000Z
DLjWMd_hcql,,2025-07-01T04:47:23.000Z
DLjWI06hKxO,,2025-07-01T04:46:54.000Z
DLjWGnvht4p,,2025-07-01T04:46:35.000Z
DLjWE1ZBmIZ,,2025-07-01T04:46:21.000Z
DLjWDSZhBZg,,2025-07-01T04:46:08.000Z
DLjVgGlvCxm,Fendi,2025-07-01T04:41:20.000Z
DLjVPsOtEsm,"펜디쇼퍼백,펜디호보백,펜디,펜디가방,펜디버킷백,펜디바게트백,펜디피카부백,펜디피카부,팬디버킷백,팬디가방,펜디몬트레조,펜디몬트레조버킷백,FENDI,펜디카드지갑,펜디머플러,펜디스카프,FENDI가방,펜디바게트백미니,가방선물,여자가방,데일리가방,기저귀가방,가죽가방,여행가방,가방쇼핑몰,여성가방",2025-07-01T04:39:05.000Z
DLjUqiwOE7P,"fendi,dior,beverlyhills,classy,chic,losangeles,pegahlamei",2025-07-01T04:34:01.000Z
DJ86Jr7zDjY,"fendi,fendiori,fendioriginal,fendiauthentic,fendijakarta,fendireadystock,fendidotcom,fendidotcomsmall,fendidotcombag,fendidotcomready,fendired,jualfendi,jualfendiori,jualfendioriginal,jualfendiauthentic,jualfendidotcom,jualfendired,jualfendidotcombag,jualfendidotcomsmall",2025-05-22T09:59:48.000Z
DLjUc9zSG45,"エコリング,川西,伊丹,宝塚,北摂,買取店,リサイクルショップ,エコ,ブランド,断捨離,お片付け,不用品,処分,臨時収入,fendi,フェンディ,ff,アクセサリー,リング",2025-07-01T04:32:10.000Z
DLjUXUwTDRc,"americanexpress,americanexpressplatinum,freestaygift,アメックス,アメックスプラチナ,アメックスカード特典,アメックスカード,ゴルフ,車,出張,旅行,エルメス,hermes,birkin,フェンディ,fendi",2025-07-01T04:31:24.000Z
DLjURjcpLNX,"LV,精品代購,現貨供應,香奈兒,Gucci,gucci,香奈兒小白鞋,DIOR,Dior錢包,香奈兒墨鏡,愛馬仕休閒鞋,burberry皮帶,專櫃限量款,香奈兒19包,香奈兒皮帶,香奈兒項鍊,香奈兒耳環,芬迪,FENDI,YSL,ysl代購,CELINE,celine代購",2025-07-01T04:30:36.000Z
DLjUKjxi16X,"louisvuitton,lv,lvbag,lvbicolor,louisvuittoncollection,lvcommunity,lvcollector,louisvuittonempreinte,lvspeedyban25,nofilter,lvoe,lvlover,lvaddict,baglover,luxurybags,fendipompom,fendi",2025-07-01T04:29:39.000Z
DLjUB9_s3Sm,"펜디카드지갑,펜디머플러,펜디스카프,FENDI가방,펜디바게트백미니,펜디크로스백,팬디크로스백,팬디시계,팬디바게트백,펜디피카부미니,펜디숄더백,펜디복조리백,피카부백,펜디백팩,펜디클러치,FENDI,바게트백,펜디슬리퍼,펜디쇼퍼백,여행가방,가방쇼핑몰,여성가방,가방브랜드,신상가방,남자가방,가방코디",2025-07-01T04:28:29.000Z
DLjT42ksFXQ,"팬디버킷백,팬디가방,펜디몬트레조,펜디몬트레조버킷백,FENDI,펜디카드지갑,펜디머플러,펜디스카프,팬디바게트백,펜디바게트백미니,펜디복조리백,팬디크로스백,팬디시계,펜디피카부미니,펜디토트백,펜디숄더백,바게트백,피카부백,학생가방,아가방,백,손뜨개가방,가방뜨기,가방신상,천가방",2025-07-01T04:27:14.000Z
DLjT1ZAyLp9,"fendi,フェンディ,カゴバッグ,買取,高価買取,京都買取,bring渋谷店,bring渋谷annex店,bring原宿店,bring新宿店,bringアメリカ村店,bring心斎橋店,bring梅田茶屋町店,bring京都河原町店,bring福岡天神店,bring名古屋店,bring札幌店,bring仙台店,bringthriftcloset店",2025-07-01T04:26:46.000Z
DLjTyR5tczg,"펜디슬리퍼,펜디쇼퍼백,펜디호보백,펜디,펜디가방,펜디버킷백,펜디바게트백,펜디피카부백,펜디피카부,팬디버킷백,팬디가방,FENDI가방,펜디몬트레조버킷백,FENDI,펜디미니백,펜디머플러,펜디스카프,펜디바게트백미니,펜디크로스백,가방선물,여자가방,데일리가방,기저귀가방,여행가방,가방쇼핑몰",2025-07-01T04:26:20.000Z
DLjTcEONyAj,"펜디버킷백,펜디머플러,펜디바게트백,펜디피카부백,펜디피카부,팬디버킷백,팬디가방,펜디몬트레조,펜디몬트레조버킷백,FENDI,펜디카드지갑,펜디스카프,FENDI가방,펜디바게트백미니,펜디크로스백,팬디크로스백,팬디시계,핸드폰가방,뜨개질가방,30대여자가방,가방수선,명품가방신상,패션가방,20대여자가방,여행가방추천",2025-07-01T04:23:18.000Z
DLjOcUwB9ZN,,2025-07-01T03:39:39.000Z
DLjOYQYBOxl,,2025-07-01T03:39:06.000Z
